iata_code,icao_code,name,country
,HYA,"Hyack Air",Canada
,HYC,"Hydro Air Flight Operations","South Africa"
,HYD,Hydro-Québec,Canada
,HKB,"Hawker Beechcraft","United States"
,ETI,"H-Bird Aviation Services AB",Sweden
,IJW,"Interjet Inc.","United States"
,IIC,"Inter Island Air Charter",Bahamas
,IWL,"Island Wings",Bahamas
IK,KAR,Ikar,"Russian Federation"
,ICN,Iconair,Pakistan
,IAC,"Interaviation Charter",Romania
,IFM,Ifly,Greece
,ITC,"International Air Carrier Association",Belgium
II,CSQ,"IBC Airways","United States"
0C,IBL,"IBL Aviation",Mauritius
,BBL,"IBM Euroflight Operations",Switzerland
,YYY,ICAO,
C3,IPR,"Independent Carrier (ICAR)",Ukraine
,CIC,"ICC Canada",Canada
,IDG,"IDG Technology Air","Czech Republic"
,IFL,"IFL Group","United States"
,RDE,"II Lione Alato Arl","United Kingdom"
,IJM,"IJM International Jet Management",Austria
,IKK,"IKI International Airlines",Japan
,IKN,"IKON FTO",Germany
,BLU,"IMP Aviation Services",Canada
,XGG,"IMP Group Aviation Services",Canada
,IPA,"IPEC Aviation",Australia
,IPM,"IPM Europe","United Kingdom"
,LVB,"IRS Airlines",Nigeria
,ISD,"ISD Avia",Ukraine
,FDF,"IVV Femida",Russia
IB,IBE,"Iberia Airlines",Spain
I2,IBS,"Iberia Express",Spain
,IBR,"Ibertour Servicios Aéreos",Spain
,IBT,"Ibertrans Aérea",Spain
TY,IWD,Iberworld,Spain
FW,IBX,"Ibex Airlines",Japan
,IBC,"Ibicenca Air",Spain
,AKI,Ibk-Petra,Sudan
,RAC,"Icar Air","Bosnia and Herzegovina"
,FRC,"Icare Franche Compte",France
D8,IBK,"Norwegian Air International (Norway)",Norway
,ICD,"Icaro Air",Ecuador
,ICA,Icaro,Italy
,IUS,Icarus,Italy
,ICJ,Icejet,Iceland
FI,ICE,Icelandair,Iceland
,ICG,"Icelandic Coast Guard",Iceland
,IKR,"Ikaros DK",Denmark
,CIO,"Il Ciocco International Travel Service",Italy
,ILV,Il-Avia,Russia
,IDL,"Ildefonso Redriguez",Mexico
V8,IAR,"Iliamna Air Taxi","United States"
,ILP,"Ilpo Aruba Cargo",Aruba
,ILL,Ilyich-Avia,Ukraine
,IMR,Imaer,Portugal
,ITX,"Imair Airlines",Azerbaijan
,IMT,"Imtrec Aviation",Cambodia
DH,IDE,"Independence Air","United States"
,IDP,"Independent Air Freighters",Australia
6E,IGO,IndiGo,India
,IIL,"India International Airways",India
,IFC,"Indian Air Force",India
,IDR,"Indicator Company",Hungary
I9,IBU,"Indigo Airlines","United States"
,IDA,"Indonesia Air Transport",Indonesia
QZ,AWQ,"Indonesia AirAsia",Indonesia
IO,IAA,"Indonesian Airlines",Indonesia
,IPN,"Industri Pesawat Terbang Nusantara",Indonesia
,ITN,"Industrias Titan",Spain
,FFI,"Infinit Air",Spain
C4,IMX,"Zimex Aviation",Switzerland
,INS,"Inflite The Jet Centre","United Kingdom"
,IVA,"Innotech Aviation",Canada
,INC,"Insel Air International","Netherlands Antilles"
,ICC,"Institut Cartogràfic de Catalunya",Spain
,INT,Intair,Canada
,INL,"Intal Avia",Kyrgyzstan
,XRA,"Intensive Air","South Africa"
,ITW,"Inter Air",Bulgaria
,INX,"Inter Express",Turkey
H4,IIN,"Inter Island Airways","Cape Verde"
,CAR,"Inter RCA","Central African Republic"
,NTT,"Inter Tropic Airlines","Sierra Leone"
,TCU,"Inter Tropical Aviation",Suriname
,ITA,Inter-Air,"United States"
,UGL,"Inter-Island Air","United States"
,IMA,"Inter-Mountain Airways","United States"
,ITS,"Inter-State Aviation","United States"
D6,ILN,"Interair South Africa","South Africa"
,NTE,Interaire,Mexico
,IVT,Interaviatrans,Ukraine
RS,ICT,"Intercontinental de Aviación",Colombia
,ICP,Intercopters,Spain
,IFT,Interflight,"United Kingdom"
,IJT,"Interflight (Learjet)","United Kingdom"
,RFL,Interfly,Italy
,IFF,"Interfreight Forwarding",Sudan
,IGN,"Interguide Air",Nigeria
,ISN,"Interisland Airlines",Philippines
,IHE,"Interjet Helicopters",Greece
ID,ITK,"Interlink Airlines","South Africa"
,IAK,"International Air Cargo Corporation",Egypt
,EXX,"International Air Corporation","United States"
N/A,NCC,"T3 Aviation, Inc.","United States"
,IAX,"International Air Services",Liberia
6I,IBZ,"International Business Air",Sweden
,IBY,"International Business Aircraft","United States"
,ICS,"International Charter Services",Mexico
,ICX,"International Charter Xpress","United States"
,RED,"International Committee of the Red Cross",Switzerland
,IIG,"International Company for Transport, Trade and Public Works",Libya
,IFX,"International Flight Training Academy","United States"
,IJA,"International Jet Aviation Services","United States"
,HSP,"International Jet Charter","United States"
,RSQ,"International SOS Windhoek",Namibia
,ISF,"International Stabilisation Assistance Force","United Kingdom"
,THN,"International Security Assistance Force",Canada
,ITH,"International Trans-Air",Nigeria
,IPT,"Interport Corporation","United States"
,IKY,"Intersky Bulgary",Bulgaria
3L,ISK,Intersky,Austria
I4,FWA,"Interstate Airlines",Netherlands
,ITU,Intervuelos,Mexico
,INV,Inversija,Latvia
,IND,"Iona National Airways",Ireland
,IOA,"Iowa Airways","United States"
IR,IRA,"Iran Air",Iran
EP,IRC,"Iran Aseman Airlines",Iran
,IRB,"Iranair Tours",Iran
,IRG,"Iranian Naft Airlines",Iran
IA,IAW,"Iraqi Airways",Iraq
,BIS,"Irbis Air",Kazakhstan
,IRL,"Irish Air Corps",Ireland
,RDK,"Irish Air Transport",Ireland
,XMR,"Irish Aviation Authority",Ireland
IH,MZA,"Irtysh Air",Kazakhstan
,KCE,"Irving Oil",Canada
,ISI,"Island Air",Mexico
,ILF,"Island Air Charters","United States"
,XYZ,"Island Air Express","United States"
,ISA,"Island Airlines","United States"
,SOY,"Island Aviation",Philippines
,DQA,"Island Aviation Services",Maldives
,IOM,"Island Aviation and Travel","United Kingdom"
2S,SDY,"Island Express","United States"
,MTP,"Island Helicopters","United States"
,ILC,"ILAS Air",Japan
,IAJ,"Islandair Jersey","United Kingdom"
,ICB,"Icebird Airline",Iceland
IF,ISW,"Islas Airways",Spain
,IGS,"Isle Grande Flying School","United States"
WC,ISV,"Islena De Inversiones",Honduras
,IOS,"Isles of Scilly Skybus","United Kingdom"
,IAI,"Israel Aircraft Industries",Israel
,IAF,"Israeli Air Force",Israel
6H,ISR,Israir,Israel
,IST,"Istanbul Airlines",Turkey
FS,ACL,"Itali Airlines",Italy
,IFS,"Italy First",Italy
GI,IKA,"Itek Air",Kyrgyzstan
,IVS,"Ivoire Aero Services","Ivory Coast"
,IVW,"Ivoire Airways","Ivory Coast"
,IJE,"Ivoire Jet Express","Ivory Coast"
,OIC,"Iwamoto Crane Co Ltd",Japan
,IXR,Ixair,France
H9,IZM,Izair,Turkey
,IZA,Izhavia,Russia
,IMG,"Imperial Cargo Airlines",Ghana
,JSY,"Jung Sky",Croatia
,JDI,"Jet Story",Poland
,JTF,"Jet Time",Finland
,JGJ,"Jinggong Jet",China
,JNY,"Journey Aviation","United States"
,JKR,"Justice Air Charter","United States"
,JWD,"Jayawijaya Dirgantara",Indonesia
,JSH,Jet-stream,Hungary
,JCB,"J C Bamford (Excavators)","United Kingdom"
,RFX,"J P Hunt Air Carriers","United States"
JC,JEX,"JAL Express",Japan
JO,JAZ,JALways,Japan
,JDA,JDAviation,"United Kingdom"
,JDP,"JDP Lux",Luxembourg
,JHM,"JHM Cargo Expreso","Costa Rica"
,TQM,"JM Family Aviation","United States"
MT,JMC,"JMC Airlines","United Kingdom"
,JSJ,"JS Air",Pakistan
,JES,"JS Aviation",Mexico
,JCK,"Jackson Air Services",Canada
JI,JAE,"Jade Cargo International",China
,JAW,"Jamahiriya Airways",Libya
,JMB,"Jambo Africa Airlines","Democratic Republic of Congo"
,WWW,Janet,"United States"
,FJX,"Jet Sky Cargo and Air Charter",Kenya
,JAK,Jana-Arka,Kazakhstan
,JAX,Janair,"United States"
3X,JAC,"Japan Air Commuter",Japan
,JSV,"Japan Aircraft Service",Japan
JL,JAL,"Japan Airlines",Japan
EG,JAA,"Japan Asia Airways",Japan
NU,JTA,"Japan Transocean Air",Japan
JA,JAT,JetSMART,Chile
VJ,JTY,"Jatayu Airlines",Indonesia
J9,JZR,"Jazeera Airways",Kuwait
7C,JJA,"Jeju Air","Republic of Korea"
,XLD,"Jeppesen Data Plan","United States"
,JPN,"Jeppesen UK","United Kingdom"
O2,JEA,"OLT Express",Poland
,JSI,"Jet Air Group",Russia
9W,JAI,"Jet Airways",India
,JTX,"Jet Aspen Air Lines","United States"
PP,PJS,"Jet Aviation",Switzerland
,BZF,"Jet Aviation Business Jets","United States"
,JAS,"Jet Aviation Flight Services","United States"
,JCF,"Jet Center Flight Training",Spain
,JCT,"Jet Charter","United States"
,JCX,"Jet Connection",Germany
,DWW,"Jet Courier Service","United States"
,JED,"Jet East International","United States"
,JEI,"Jet Executive International Charter",Germany
,RZA,"Jet Fighter Flights",Australia
,CFT,"Jet Freighters","United States"
,JGD,"Jet G&D Aviation",Israel
,MJL,"Jet Line International",Moldova
,JEK,"Jet Link",Israel
,HTL,"Jet Linx Aviation","United States"
,JTL,"Jet Linx Aviation","United States"
,JNR,"Jet Norte",Mexico
,JRN,"Jet Rent",Mexico
3K,JSA,"Jetstar Asia Airways",Singapore
,JSM,"Jet Stream",Moldova
,JTC,"Jet Trans Aviation",Ghana
,JTT,Jet-2000,Russia
,OPS,Jet-Ops,"United Arab Emirates"
LS,EXS,Jet2.com,"United Kingdom"
,JFU,Jet4You,Morocco
,OSW,"JetAfrica Swaziland",Swaziland
B6,JBU,"JetBlue Airways","United States"
,JMG,JetMagic,Ireland
,JMK,Jetmagic,Malta
,JAF,Jetairfly,Belgium
,JAG,Jetalliance,Austria
0J,JCS,Jetclub,Switzerland
,QNZ,Jetconnect,"New Zealand"
,UEJ,Jetcorp,"United States"
,JCC,"Jetcraft Aviation",Australia
,JXA,"Jetex Aviation",Lebanon
,JEF,Jetflite,Finland
,JFL,"Jetfly Airlines",Austria
,JFA,"Jetfly Aviation",Luxembourg
,JIC,"Jetgo International",Thailand
,JLX,"Jetlink Express",Kenya
,JNL,JetNetherlands,Netherlands
,JNV,"Jetnova de Aviación Ejecutiva",Spain
,JPO,Jetpro,Mexico
,MDJ,"Jetran Air",Romania
,JRI,"Jetrider International","United Kingdom"
,JEJ,"Jets Ejecutivos",Mexico
,JEP,"Jets Personales",Spain
,JSE,"Jets Y Servicios Ejecutivos",Mexico
SG,JGO,JetsGo,Canada
JQ,JST,Jetstar,Australia
GK,JJP,"Jetstar Japan",Japan
JM,JKT,"Jetstar Hong Kong Airways",China
,JXT,"Jetstream Executive Travel","United Kingdom"
,RSP,JetSuite,"United States"
,JPQ,"Jett Paqueteria",Mexico
JX,JEC,"Jett8 Airlines Cargo",Singapore
JO,JTG,Jettime,Denmark
,JTN,"Jet Test Intl.","United States"
,JWY,"Jetways of Iowa","United States"
GX,JXX,"JetX Airlines",Iceland
,JIB,Jibair,Djibouti
,JSW,"Jigsaw Project","United Kingdom"
,HKN,"Jim Hankins Air Service","United States"
,RAS,"Jim Ratliff Air Service","United States"
,JDG,"Joanas Avialinijos",Lithuania
,JBR,"Job Air","Czech Republic"
,JHN,"Johnson Air","United States"
,JON,"Johnsons Air",Ghana
,JMJ,"Johnston Airways","United States"
,JMM,"Joint Military Commission",Sudan
,JMT,"Jomartaxi Aereo",Mexico
,ODI,"Jonsson, H Air Taxi",Iceland
R5,JAV,"Jordan Aviation",Jordan
J4,JCI,"Jordan International Air Cargo",Jordan
,JVK,Jorvik,Iceland
,ENZ,"Jota Aviation","United Kingdom"
,JNJ,"Journey Jet",Thailand
XE,JSX,"JSX (airline)","United States"
,JUR,Ju-Air,Switzerland
,JFS,"Juanda Flying School",Indonesia
,JUC,"Juba Cargo Services & Aviation Company",Sudan
,DKE,"Jubilee Airways","United Kingdom"
HO,DKH,"Juneyao Airlines",China
,MEY,"Justair Scandinavia",Sweden
,DOJ,"Justice Prisoner and Alien Transportation System","United States"
3Q,KCH,"KC International Airlines",Cambodia
,KCR,"Kolob Canyons Air Services","United States"
KW,KHK,"Kharkiv Airlines",Ukraine
,KGZ,"Kyrgyz Airlines",Kyrgyzstan
,KDC,"K D Air Corporation",Canada
,KSA,"K S Avia",Latvia
,KMI,"K-Mile Air",Thailand
KD,KLS,"Kalstar Aviation",Indonesia
KD,KNI,"KD Avia",Russia
WA,KLC,"KLM Cityhopper",Netherlands
,KLH,"KLM Helicopter",Netherlands
KL,KLM,KLM,Netherlands
N2,QNK,"Kabo Air",Nigeria
,KMC,"Kahama Mining Corporation",Tanzania
KI,KAI,KaiserAir,"United States"
K4,CKS,"Kalitta Air","United States"
K9,KFS,"Kalitta Charters","United States"
CB*,KII,"Kalitta Charters II","United States"
,KES,"Kallat El Saker Air Company",Libya
RQ,KMF,"Kam Air",Afghanistan
E2,KMP,"Kampuchea Airlines",Cambodia
,KIZ,"Kanaf-Arkia Airlines",Israel
,KHE,"Kanfey Ha'emek Aviation",Israel
,KSU,"Kansas State University","United States"
,KRB,"Karibu Airways Company",Tanzania
,KLG,"Karlog Air Charter",Denmark
,KAJ,"Karthago Airlines",Tunisia
,KAE,"Kartika Airlines",Indonesia
,KTV,"Kata Transportation",Sudan
,KTK,Katekavia,Russia
,KAT,"Kato Airline",Norway
KV,MVD,Kavminvodyavia,Russia
,XKA,"Kavouras Inc","United States"
,KRN,"Kaz Agros Avia",Kazakhstan
,KAW,"Kaz Air West",Kazakhstan
,KAO,"Kazan Aviation Production Association",Russia
,KPH,"Kazan Helicopters",Russia
,KKA,Kazavia,Kazakhstan
,KZS,Kazaviaspas,Kazakhstan
,JFK,"Keenair Charter -","United Kingdom"
,KLX,"Kelix Air",Nigeria
,FKL,"Kelner Airways",Canada
KW,KFA,"Kelowna Flightcraft Air Charter",Canada
,KDA,"Kendell Airlines",Australia
M5,KEN,"Kenmore Air","United States"
,KBA,"Kenn Borek Air",Canada
,KAH,"Kent Aviation",Canada
KQ,KQA,"Kenya Airways",Kenya
,KVS,Kevis,Kazakhstan
,KEY,"Key Airlines","United States"
,LYM,"Key Lime Air","United States"
,FTP,"Keystone Aerial Surveys","United States"
BZ,KEE,"Keystone Air Service",Canada
K6,KZW,"Khalifa Airways",Algeria
,WKH,"Kharkov Aircraft Manufacturing Company",Ukraine
,KHR,Khazar,Turkmenistan
,KHP,"Khoezestan Photros Air Lines",Iran
,KRV,Khoriv-Avia,Ukraine
,KHO,"Khors Aircompany",Ukraine
,KHY,"Khyber Afghan Airlines",Afghanistan
,UAK,"Kiev Aviation Plant",Ukraine
,KNG,"King Aviation","United Kingdom"
,BEZ,"Kingfisher Air Services","United States"
IT,KFR,"Kingfisher Airlines",India
,KNX,"Knighthawk Air Express",Canada
,KAS,"Kingston Air Services",Canada
,KIP,Kinnarps,Sweden
,KNS,"Kinshasa Airways","Democratic Republic of the Congo"
,KTA,"Kirov Air Enterprise",Russia
IRK,"Kish Air",KISHAIR,
,KHA,"Kitty Hawk Aircargo","United States"
,KHC,"Kitty Hawk Airways","United States"
KP,KIA,"Kiwi International Air Lines","United States"
,KRA,"Kiwi Regional Airlines","New Zealand"
,KNA,"Knight Air",Canada
,KHX,"Knighthawk Express","United States"
,KGT,"Knights Airlines",Nigeria
,KOA,"Koanda Avacion",Spain
,OYE,"Koda International",Nigeria
7K,KGL,"Kogalymavia Air Company",Russia
,KOM,"Kom Activity",Netherlands
,KMA,"Komiaviatrans State Air Enterprise",Russia
8J,KMV,Komiinteravia,Russia
,KOB,"Koob-Corp - 96 KFT",Hungary
KE,KAL,"Korean Air","South Korea"
,KMG,"Kosmas Air",Serbia
,KSM,Kosmos,Russia
,KOS,"Kosova Airlines",Serbia
,WOK,"Kovar Air","Czech Republic"
7B,KJC,"Krasnojarsky Airlines",Russia
,KFC,"Kremenchuk Flight College",Ukraine
,KRG,Krimaviamontag,Ukraine
,KRO,"Kroonk Air Agency",Ukraine
K9,KRI,"Krylo Airlines",Russia
,KYM,Krym,Ukraine
,OPC,"Krystel Air Charter","United Kingdom"
GW,KIL,"Kuban Airlines",Russia
VD,KPA,"Kunpeng Airlines",China
,KZA,"Kurzemes Avio",Russia
,KBV,Kustbevakningen,Sweden
KU,KAC,"Kuwait Airways",Kuwait
GO,KZU,"Kuzu Airlines Cargo",Turkey
,QVR,"Kvadro Aero",Kyrgyzstan
,KWN,"Kwena Air","South Africa"
,KTC,"Kyrgyz Trans Avia",Kyrgyzstan
R8,KGA,"Kyrgyzstan Airlines",Kyrgyzstan
,DAM,"Kyrgyzstan Department of Aviation",Kyrgyzstan
,KGB,"Kyrgz General Aviation",Kyrgyzstan
FK,KEW,"Keewatin Air",Canada
,LZF,"Lease Fly",Portugal
,LHB,"Liebherr Geschaeftreiseflugzeug",Germany
,LLD,"Lloyd Aviation",Venezuela
,LGA,"Logistic Air",Malaysia
,LGC,"Legacy Air",Thailand
,JKA,"LeTourneau University","United States"
,LTY,"Liberty Air",Netherlands
,LWL,Lowlevel,Portugal
,LAX,"Laminar Air",Spain
,LWA,"Libyan Wings",Libya
,LYB,"Lynden Air Cargo","Papua New Guinea"
,LAH,"L A Helicopter","United States"
,LJY,"L J Aviation","United States"
,LRB,"L R Airlines","Czech Republic"
,PHO,"L&L Flygbildteknik",Sweden
,LEX,"L'Express Airlines","United States"
,FNT,"L-3 Communications Flight International Aviation","United States"
JF,LAB,"L.A.B. Flying Service","United States"
LR,LRC,LACSA,"Costa Rica"
,LDE,"LADE - Líneas Aéreas Del Estado",Argentina
KG,BNX,"LAI - Línea Aérea IAACA",Venezuela
LA,LAN,"LATAM Chile",Chile
4M,DSM,"LATAM Argentina",Argentina
UC,LCO,"LATAM Cargo Chile",Chile
PZ,LAP,"LATAM Paraguay",Paraguay
,LNC,"LAN Dominicana","Dominican Republic"
LU,LXP,"LATAM Express",Chile
LP,LPE,"LATAM Peru",Peru
,LSA,LANSA,"Dominican Republic"
,APT,"LAP Colombia - Líneas Aéreas Petroleras, S.A.",Colombia
,OTN,LASTP,"São Tomé and Príncipe"
,LCB,"LC Busre",Peru
LO,LOT,"LOT Polish Airlines",Poland
XO,LTE,"LTE International Airways",Spain
L3,LTO,"LTU Austria",Austria
LT,LTU,"LTU International",Germany
,JFC,"LTV Jet Fleet Corporation","United States"
,LUK,LUKoil-Avia,Russia
,LVT,"La Valenciana Taxi Aéreo",Mexico
,SKQ,Labcorp,"United States"
,LAL,"Labrador Airways",Canada
N6,JEV,"Lagun Air",Spain
,HCA,"Lake Havasu Air Service","United States"
,LKL,"Lakeland Aviation","United States"
,LKR,"Laker Airways","United States"
,LBH,"Laker Airways (Bahamas)","United States"
,LMR,Lamra,Sudan
,TCR,"Lanaes Aereas Trans Costa Rica","Costa Rica"
,ISL,Landsflug,Iceland
,PAP,"Langtry Flying Group","United Kingdom"
IK,LKN,Lankair,"Sri Lanka"
,LZA,"Lanza Air",Spain
,LZT,"Lanzarote Aerocargo",Spain
,LLL,"Lao Skyway","Lao People's Democratic Republic"
QV,LAO,"Lao Airlines","Lao People's Democratic Republic"
,LKA,"Lao Capricorn Air","Lao People's Democratic Republic"
L7,LPN,"Laoag International Airlines",Philippines
,LRD,"Laredo Air","United States"
,LTC,LatCharter,Latvia
,LAF,"Latvian Air Force",Latvia
NG,LDA,"Lauda Air",Austria
OE[34],LDM,LaudaMotion,Austria
,LDI,"Lauda Air Italy",Italy
,LSU,Laus,Croatia
,LAR,"Lawrence Aviation","United States"
,LAY,"Layang-Layang Aerospace",Malaysia
,LPL,"Lease-a-Plane International","United States"
LQ,LAQ,"Lebanese Air Transport",Lebanon
,LAT,"Lebanese Air Transport (charter)",Lebanon
,LAD,"Lebanon Airport Development Corporation","United States"
,LEB,Lebap,Turkmenistan
,LCA,"Leconte Airlines","United States"
LI,LIA,"Leeward Islands Air Transport","Antigua and Barbuda"
,LGD,"Legend Airlines","United States"
,LWD,"Leisure Air","United States"
,LEN,"Lentini Aviation","United States"
,LOR,Leo-Air,"South Africa"
,LEL,"Leonsa De Aviación",Spain
LV,LVL,Level,"Spain and France"
,LYW,"Libyan Airlines",Libya
LN,LAA,"Libyan Arab Airlines",Libya
,LCR,"Libyan Arab Air Cargo",Libya
,LIQ,"Lid Air",Sweden
,LTA,"LIFT Academy","United States"
,LCG,"Lignes Aeriennes Congolaises","Democratic Republic of the Congo"
,LKD,"Lignes Aeriennes Du Tchad",Chad
,LME,"Lignes Mauritaniennes Air Express",Mauritania
,GCB,"Lignes Nationales Aeriennes - Linacongo","Republic of the Congo"
,GDQ,"Lincoln Air National Guard","United States"
,LRT,"Lincoln Airlines",Australia
,LSY,"Lindsay Aviation","United States"
,NOT,"Línea Aérea Costa Norte",Chile
,LMC,"Línea Aérea Mexicana de Carga",Mexico
L7,LNP,"Línea Aérea SAPSA",Chile
,NEG,"Línea Aérea de Fumig Aguas Negras",Chile
QL,LER,"Línea Aérea de Servicio Ejecutivo Regional",Venezuela
,LSE,"Línea De Aeroservicios",Chile
,TUY,"Línea Turística Aereotuy",Venezuela
,ALR,"Líneas Aéreas Alaire S.L.",Spain
ZE,LCD,"Líneas Aéreas Azteca",Mexico
,LCN,"Líneas Aéreas Canedo LAC",Bolivia
,LCM,"Líneas Aéreas Comerciales",Mexico
,EDD,"Líneas Aéreas Ejectuivas De Durango",Mexico
,FED,"Líneas Aéreas Federales",Argentina
,LMN,"Líneas Aéreas Monarca",Mexico
,LIJ,"Líneas Aéreas San Jose",Mexico
,UMA,"Líneas Aéreas del Humaya",Mexico
,LEC,Linex,"Central African Republic"
,SMS,"Linhas Aéreas Santomenses","São Tomé and Príncipe"
TM,LAM,"Linhas Aéreas de Moçambique",Mozambique
,LAW,"Link Airways of Australia",Australia
,WGT,"Volkswagen AirService GmbH","United Kingdom"
JT,LNI,"Lion Air",Indonesia
,LEU,Lions-Air,Switzerland
,LYF,"Lithuanian Air Force",Lithuania
,LRA,"Little Red Air Service",Canada
LM,LVG,"Livingston Energy Flight",Italy
LB,LLB,"Lloyd Aéreo Boliviano",Bolivia
,LNA,"Lnair Air Services",Spain
,XLG,"Lockheed Air Terminal","United States"
,LAC,"Lockeed Aircraft Corporation","United States"
,XDD,"Lockheed DUATS","United States"
,CBD,"Lockheed Martin Aeronautics","United States"
,LNG,"Lockheed Martin Aeronautics Company","United States"
LM,LOG,Loganair,"United Kingdom"
,CLV,"Lom Praha Flying School","Czech Republic"
,LMS,"Lomas Helicopters","United Kingdom"
,LCY,"London City Airport Jet Centre","United Kingdom"
,LNX,"London Executive Aviation","United Kingdom"
,LOV,"London Flight Centre (Stansted)","United Kingdom"
,LHC,"London Helicopter Centres","United Kingdom"
,LSS,"Lone Star Airlines","United States"
,ORA,"Long Island Airlines","United States"
,LGT,"Longtail Aviation",Bermuda
,LRR,"Lorraine Aviation",France
,LSC,"Los Cedros Aviación",Chile
,TAS,"Lotus Air",Egypt
,LTW,"Luchtvaartmaatschappij Twente",Netherlands
,LKE,"Lucky Air",China
,LUT,"Luft Carago","South Africa"
,LVD,Luftfahrt-Vermietungs-Dienst,Austria
LH,DLH,Lufthansa,Germany
LH,GEC,"Lufthansa Cargo",Germany
CL,CLH,"Lufthansa CityLine",Germany
,LHT,"Lufthansa Technik",Germany
,LTF,"Lufttaxi Fluggesellschaft",Germany
L5,LTR,Lufttransport,Norway
,LHS,Luhansk,Ukraine
,UNY,"Lund University School of Aviation",Sweden
LG,LGL,Luxair,Luxembourg
,LXA,Luxaviation,Luxembourg
,LUV,"Luxembourg Air Rescue",Luxembourg
,LFE,"Luxflight Executive",Luxembourg
,LXO,"Luxor Air",Egypt
,LUZ,Luzair,Portugal
5V,UKW,"Lviv Airlines",Ukraine
,LYD,"Lydd Air","United Kingdom"
,LCH,"Lynch Flying Service","United States"
L2,LYC,"Lynden Air Cargo","United States"
,LWG,Luxwing,Malta
,LXF,"Lynx Air International","United States"
L4,SSX,"Lynx Aviation","United States"
,LYX,"Lynx Aviation",Pakistan
Z8,AZN,"Línea Aérea Amaszonas",Bolivia
MJ,LPR,"Líneas Aéreas Privadas Argentinas",Argentina
,LAU,"Líneas Aéreas Suramericanas",Colombia
LJ,JNA,"Jin Air","South Korea"
,MMH,"McMahon Helicopter","United States"
,HOG,"Mahogany Air Charters",Zambia
,MTS,"Med Jets",Mexico
,MSF,"Minsheng International Jet",China
,MXS,"Millon Express","United States"
,MHF,"Maritime Helicopters","United States"
WD,MWM,"Modern Transporte Aereo De Carga",Brazil
,MSJ,"Magnum Air",Philippines
,MWI,"Malawian Airlines 2014",Malawi
,MYP,"Mann Yadanarpon Airlines",Myanmar
,MLV,"Multiservicios Aereos Del Valle",Mexico
,MMJ,"Macau Jet International",China
,MXF,"Maximum Flight Advantages","United States"
OD,MXD,"Malindo Airways",Malaysia
,MJC,"Mandarin Air",China
,PLG,MBK-S,Russia
,DZR,"Midwest Aviation","United States"
,MSN,"Milenium Air Servicios Aereos Integrados",Mexico
,MFB,"Mountain Flyers 80",Switzerland
,JNH,"M & N Aviation","United States"
,MCF,"MAC Fotografica",Spain
,MRG,MANAG'AIR,France
AQ,MPJ,"MAP-Management and Planung",Austria
,TFG,"MAS Airways","United Kingdom"
M7,MAA,MasAir,Mexico
MH,MWG,MASwings,Malaysia
IN,MAK,"MAT Macedonian Airlines",Macedonia
,MCC,"MCC Aviation","South Africa"
,MGA,"MG Aviación",Spain
,JLA,"MIA Airlines",Romania
OM,MGL,"MIAT Mongolian Airlines",Mongolia
,MNC,"MIT Airlines",Canada
,MKA,"MK Airline",Ghana
MB,MNB,"MNG Airlines",Turkey
,MCV,"MTC Aviación",Mexico
,MAQ,"Mac Aviation",Spain
,MCN,"Mac Dan Aviation Corporation","United States"
,MTD,"MacKnight Airlines",Australia
CC,MCK,"Macair Airlines",Australia
,MCS,"Macedonian Airlines",Greece
,MDH,"Madina Air",Libya
DM,DAN,"Maersk Air",Denmark
,MJB,"Magic Blue Airlines",Netherlands
,MGR,"Magna Air",Austria
,MLH,"Mahalo Air","United States"
W5,IRM,"Mahan Air",Iran
M2,MZS,"Mahfooz Aviation",Gambia
,MAT,"Maine Aviation","United States"
,MAJ,"Majestic Airlines","United States"
,AKM,"Mak Air",Kazakhstan
,MLG,"Malagasy Airlines",Madagascar
,MLX,"Malawi Express",Malawi
,MKK,"Malaya Aviatsia Dona",Russia
MH,MAS,"Malaysia Airlines",Malaysia
DB,MLT,Maleth-Aero,Malta
,MAE,"Mali Air",Austria
,VXP,"Mali Air Express",Mali
,MTZ,"Mali Airways",Mali
,MLC,"Malila Airlift","Democratic Republic of the Congo"
,MLS,"Mall Airways","United States"
,LOD,"Malmoe Air Taxi",Sweden
TF,SCW,"Malmö Aviation",Sweden
,MAY,"Malta Air",Malta
,MWS,"Malta Wings",Malta
MA,MAH,"Malév Hungarian Airlines",Hungary
,MLB,"Manaf International Airways",Burundi
RI,MDL,"Mandala Airlines",Indonesia
AE,MDA,"Mandarin Airlines",Taiwan
JE,MNO,Mango,"South Africa"
,MHN,"Manhattan Air","United Kingdom"
,MTO,"Manitoulin Air Services",Canada
,MNR,"Mann Air","United Kingdom"
,MAN,"Mannion Air Charter","United States"
,MNX,"Manx Airlines","United Kingdom"
,MAD,"Maple Air Services",Canada
,MAR,"March Helicopters","United Kingdom"
,MCP,"Marcopolo Airways",Afghanistan
,MGI,"Marghi Air",Nigeria
,MRK,Markair,"United States"
,MKO,"Markoss Aviation","United Kingdom"
6V,MRW,"Mars RK",Ukraine
,MCE,"Marshall Aerospace","United Kingdom"
M7,MSL,"Marsland Aviation",Sudan
,XMA,"Martin Aviation Services","United States"
,MBE,Martin-Baker,"United Kingdom"
MP,MPH,Martinair,Netherlands
,MRA,Martinaire,"United States"
